"Week","State","Total Individual Population age 18+","Total Expected Loss in Employment Income","Expected Loss in Employment Income Percent"
"2","Alabama","3717378","1279415","34.4"
"2","Alaska","524925","156122","29.8"
"2","Arizona","5597268","1581562","28.4"
"2","Arkansas","2246527","660384","29.7"
"2","California","29939021","12177106","40.8"
"2","Colorado","4454718","1514072","34.1"
"2","Connecticut","2732423","881130","32.3"
"2","Delaware","754637","268239","35.6"
"2","District of Columbia","542635","123201","22.7"
"2","Florida","17085385","6749075","39.6"
"2","Georgia","7955983","2829673","35.7"
"2","Hawaii","1073229","573904","53.6"
"2","Idaho","1343198","294133","21.9"
"2","Illinois","9546424","3392661","35.9"
"2","Indiana","5015550","1447712","29"
"2","Iowa","2342905","666096","28.5"
"2","Kansas","2140957","534482","25.1"
"2","Kentucky","3344102","1183081","35.5"
"2","Louisiana","3431432","1520307","44.4"
"2","Maine","1065620","357510","33.8"
"2","Maryland","4586920","1572870","34.7"
"2","Massachusetts","5324065","1906240","36.3"
"2","Michigan","7644458","3149166","41.3"
"2","Minnesota","4241624","1271368","30.2"
"2","Mississippi","2189670","792442","36.2"
"2","Missouri","4617880","1293227","28.1"
"2","Montana","822204","193996","23.6"
"2","Nebraska","1418191","440073","31.1"
"2","Nevada","2399457","1127503","47"
"2","New Hampshire","1073014","367531","34.4"
"2","New Jersey","6776822","3292129","48.6"
"2","New Mexico","1589574","587013","37"
"2","New York","14847080","6856742","46.4"
"2","North Carolina","8017566","2717504","34"
"2","North Dakota","561016","175445","31.3"
"2","Ohio","8822539","3051117","34.6"
"2","Oklahoma","2916436","1068225","36.7"
"2","Oregon","3302727","1348855","40.9"
"2","Pennsylvania","9776154","3530899","36.2"
"2","Rhode Island","817559","245924","30.2"
"2","South Carolina","3969123","1493020","37.7"
"2","South Dakota","642658","196449","30.6"
"2","Tennessee","5221475","2025495","39.2"
"2","Texas","21356906","7804260","36.8"
"2","Utah","2281207","616613","27.2"
"2","Vermont","485485","167269","34.5"
"2","Virginia","6472737","2461017","38.1"
"2","Washington","5890357","1995805","34.1"
"2","West Virginia","1379576","401427","29.4"
"2","Wisconsin","4438719","1434731","32.4"
"2","Wyoming","433400","109923","25.5"
"1","Alabama","3717378","1354044","36.5"
"1","Alaska","524925","170823","32.7"
"1","Arizona","5597268","1951639","35.4"
"1","Arkansas","2246527","693263","31.2"
"1","California","29939021","13209930","44.4"
"1","Colorado","4454718","1526177","34.4"
"1","Connecticut","2732423","1101774","40.6"
"1","Delaware","754637","271650","36.2"
"1","District of Columbia","542635","177276","32.7"
"1","Florida","17085385","6996507","41.1"
"1","Georgia","7955983","3195996","40.4"
"1","Hawaii","1073229","524611","49.3"
"1","Idaho","1343198","366589","27.5"
"1","Illinois","9546424","3553668","37.5"
"1","Indiana","5015550","1842920","37.1"
"1","Iowa","2342905","671191","28.7"
"1","Kansas","2140957","613553","28.9"
"1","Kentucky","3344102","1274398","38.2"
"1","Louisiana","3431432","1459566","43.3"
"1","Maine","1065620","356466","33.5"
"1","Maryland","4586920","1804951","39.8"
"1","Massachusetts","5324065","2246494","42.5"
"1","Michigan","7644458","3290847","43.2"
"1","Minnesota","4241624","1421144","33.8"
"1","Mississippi","2189670","788485","36"
"1","Missouri","4617880","1482514","32.2"
"1","Montana","822204","238207","29.2"
"1","Nebraska","1418191","417084","29.6"
"1","Nevada","2399457","1155737","48.3"
"1","New Hampshire","1073014","369388","34.9"
"1","New Jersey","6776822","3159325","47"
"1","New Mexico","1589574","627774","39.7"
"1","New York","14847080","6506398","44.3"
"1","North Carolina","8017566","2550719","32"
"1","North Dakota","561016","171922","31.1"
"1","Ohio","8822539","2966163","33.9"
"1","Oklahoma","2916436","968431","33.4"
"1","Oregon","3302727","1229922","37.4"
"1","Pennsylvania","9776154","3710428","38.4"
"1","Rhode Island","817559","303011","37.4"
"1","South Carolina","3969123","1440086","36.5"
"1","South Dakota","642658","226950","35.4"
"1","Tennessee","5221475","1841681","35.4"
"1","Texas","21356906","8715895","41.2"
"1","Utah","2281207","652854","28.7"
"1","Vermont","485485","186259","38.7"
"1","Virginia","6472737","2051028","32"
"1","Washington","5890357","2184960","37.4"
"1","West Virginia","1379576","409788","30.1"
"1","Wisconsin","4438719","1467372","33.4"
"1","Wyoming","433400","136518","31.6"
