"Week","State","Total Individual Population age 18+","Total Food Scarcity","Food Scarcity Percent"
"2","Alabama","3717378","483683","13.1"
"2","Alaska","524925","26027","5"
"2","Arizona","5597268","470426","8.5"
"2","Arkansas","2246527","200129","9.1"
"2","California","29939021","3265878","11.4"
"2","Colorado","4454718","359300","8.1"
"2","Connecticut","2732423","234413","8.7"
"2","Delaware","754637","45322","6.2"
"2","District of Columbia","542635","80757","15.3"
"2","Florida","17085385","2182275","12.9"
"2","Georgia","7955983","1001948","13.3"
"2","Hawaii","1073229","82446","7.8"
"2","Idaho","1343198","102134","7.8"
"2","Illinois","9546424","1322237","13.9"
"2","Indiana","5015550","428888","8.7"
"2","Iowa","2342905","198271","8.5"
"2","Kansas","2140957","155335","7.5"
"2","Kentucky","3344102","361814","11"
"2","Louisiana","3431432","462270","14.2"
"2","Maine","1065620","75108","7.1"
"2","Maryland","4586920","674096","15.1"
"2","Massachusetts","5324065","548234","10.5"
"2","Michigan","7644458","698594","9.4"
"2","Minnesota","4241624","318257","7.7"
"2","Mississippi","2189670","430433","19.8"
"2","Missouri","4617880","519798","11.4"
"2","Montana","822204","65337","8"
"2","Nebraska","1418191","117997","8.5"
"2","Nevada","2399457","308071","13.1"
"2","New Hampshire","1073014","63382","6"
"2","New Jersey","6776822","695764","10.7"
"2","New Mexico","1589574","143883","9.3"
"2","New York","14847080","1573887","10.8"
"2","North Carolina","8017566","969935","12.4"
"2","North Dakota","561016","30072","5.4"
"2","Ohio","8822539","704639","8.1"
"2","Oklahoma","2916436","248104","8.7"
"2","Oregon","3302727","300222","9.1"
"2","Pennsylvania","9776154","787714","8.2"
"2","Rhode Island","817559","84464","10.5"
"2","South Carolina","3969123","453210","11.6"
"2","South Dakota","642658","84477","13.3"
"2","Tennessee","5221475","373721","7.3"
"2","Texas","21356906","2548892","12.2"
"2","Utah","2281207","216071","9.7"
"2","Vermont","485485","12872","2.7"
"2","Virginia","6472737","456833","7.2"
"2","Washington","5890357","507040","8.7"
"2","West Virginia","1379576","134144","9.8"
"2","Wisconsin","4438719","255399","5.8"
"2","Wyoming","433400","29461","6.8"
"1","Alabama","3717378","383470","10.4"
"1","Alaska","524925","38494","7.4"
"1","Arizona","5597268","523788","9.6"
"1","Arkansas","2246527","266121","12.1"
"1","California","29939021","2879451","9.7"
"1","Colorado","4454718","333587","7.5"
"1","Connecticut","2732423","238782","9"
"1","Delaware","754637","86983","11.8"
"1","District of Columbia","542635","68554","12.8"
"1","Florida","17085385","1693917","10"
"1","Georgia","7955983","892008","11.3"
"1","Hawaii","1073229","105951","10"
"1","Idaho","1343198","104088","7.9"
"1","Illinois","9546424","998411","10.6"
"1","Indiana","5015550","468484","9.4"
"1","Iowa","2342905","162577","7"
"1","Kansas","2140957","143851","6.8"
"1","Kentucky","3344102","372609","11.3"
"1","Louisiana","3431432","539568","16.2"
"1","Maine","1065620","57427","5.5"
"1","Maryland","4586920","477291","10.8"
"1","Massachusetts","5324065","373983","7.2"
"1","Michigan","7644458","705329","9.4"
"1","Minnesota","4241624","280204","6.7"
"1","Mississippi","2189670","264423","12.3"
"1","Missouri","4617880","484256","10.6"
"1","Montana","822204","56627","7"
"1","Nebraska","1418191","120025","8.6"
"1","Nevada","2399457","245607","10.3"
"1","New Hampshire","1073014","49195","4.7"
"1","New Jersey","6776822","790923","12"
"1","New Mexico","1589574","152417","9.7"
"1","New York","14847080","1354759","9.5"
"1","North Carolina","8017566","617273","7.8"
"1","North Dakota","561016","17715","3.2"
"1","Ohio","8822539","964279","11.2"
"1","Oklahoma","2916436","243872","8.5"
"1","Oregon","3302727","224497","6.9"
"1","Pennsylvania","9776154","1000680","10.5"
"1","Rhode Island","817559","56512","7.1"
"1","South Carolina","3969123","452457","11.6"
"1","South Dakota","642658","32033","5.1"
"1","Tennessee","5221475","603860","11.6"
"1","Texas","21356906","2582060","12.3"
"1","Utah","2281207","138404","6.1"
"1","Vermont","485485","26492","5.5"
"1","Virginia","6472737","539408","8.5"
"1","Washington","5890357","394685","6.8"
"1","West Virginia","1379576","103872","7.6"
"1","Wisconsin","4438719","334749","7.7"
"1","Wyoming","433400","23645","5.5"
