"Week","State","Total Individual Population age 18+","Total K-12 Educational Changes","K-12 Educational Changes Percent"
"2","Alabama","3717378","1137072","99.4"
"2","Alaska","524925","129056","100"
"2","Arizona","5597268","1421774","99.2"
"2","Arkansas","2246527","617049","99.1"
"2","California","29939021","8090451","99.9"
"2","Colorado","4454718","947897","99.9"
"2","Connecticut","2732423","846199","100"
"2","Delaware","754637","227084","100"
"2","District of Columbia","542635","90641","100"
"2","Florida","17085385","4091169","100"
"2","Georgia","7955983","2188869","100"
"2","Hawaii","1073229","318717","100"
"2","Idaho","1343198","343635","99.3"
"2","Illinois","9546424","2202012","100"
"2","Indiana","5015550","1580184","99.6"
"2","Iowa","2342905","631272","100"
"2","Kansas","2140957","630886","99.9"
"2","Kentucky","3344102","954827","99.8"
"2","Louisiana","3431432","889086","100"
"2","Maine","1065620","177632","98.5"
"2","Maryland","4586920","1214351","99.7"
"2","Massachusetts","5324065","1259536","99.6"
"2","Michigan","7644458","1842270","100"
"2","Minnesota","4241624","1153303","97"
"2","Mississippi","2189670","742966","100"
"2","Missouri","4617880","1047612","100"
"2","Montana","822204","155020","100"
"2","Nebraska","1418191","383461","96.2"
"2","Nevada","2399457","677193","99.9"
"2","New Hampshire","1073014","240952","99.9"
"2","New Jersey","6776822","1863014","100"
"2","New Mexico","1589574","403792","100"
"2","New York","14847080","3850558","100"
"2","North Carolina","8017566","2045249","99.9"
"2","North Dakota","561016","154257","100"
"2","Ohio","8822539","2358459","99.7"
"2","Oklahoma","2916436","905359","100"
"2","Oregon","3302727","714840","100"
"2","Pennsylvania","9776154","2194305","100"
"2","Rhode Island","817559","177914","100"
"2","South Carolina","3969123","918657","99.5"
"2","South Dakota","642658","171759","100"
"2","Tennessee","5221475","1687544","99.2"
"2","Texas","21356906","7241179","99.7"
"2","Utah","2281207","652979","100"
"2","Vermont","485485","120476","100"
"2","Virginia","6472737","1601700","100"
"2","Washington","5890357","1281682","99.5"
"2","West Virginia","1379576","354667","100"
"2","Wisconsin","4438719","1238499","99.4"
"2","Wyoming","433400","140766","100"
"1","Alabama","3717378","992049","100"
"1","Alaska","524925","152706","100"
"1","Arizona","5597268","1625548","99.7"
"1","Arkansas","2246527","667996","100"
"1","California","29939021","8517154","99.7"
"1","Colorado","4454718","1018242","99.5"
"1","Connecticut","2732423","718048","99.7"
"1","Delaware","754637","215187","99.9"
"1","District of Columbia","542635","99997","100"
"1","Florida","17085385","4088718","99.5"
"1","Georgia","7955983","2133671","100"
"1","Hawaii","1073229","367841","100"
"1","Idaho","1343198","375975","99.8"
"1","Illinois","9546424","2424953","99.6"
"1","Indiana","5015550","1389372","99.5"
"1","Iowa","2342905","579783","99.6"
"1","Kansas","2140957","574495","99.6"
"1","Kentucky","3344102","891642","99.2"
"1","Louisiana","3431432","936851","99.8"
"1","Maine","1065620","227368","100"
"1","Maryland","4586920","1160389","99.3"
"1","Massachusetts","5324065","1276476","98.9"
"1","Michigan","7644458","1896223","99.8"
"1","Minnesota","4241624","1139366","99.8"
"1","Mississippi","2189670","675580","99.9"
"1","Missouri","4617880","1122515","99.8"
"1","Montana","822204","171367","99.8"
"1","Nebraska","1418191","362010","99.5"
"1","Nevada","2399457","803915","99.8"
"1","New Hampshire","1073014","218338","97.4"
"1","New Jersey","6776822","2004125","100"
"1","New Mexico","1589574","422404","98.9"
"1","New York","14847080","3734275","99.8"
"1","North Carolina","8017566","2064753","99.9"
"1","North Dakota","561016","107209","100"
"1","Ohio","8822539","2112058","100"
"1","Oklahoma","2916436","813967","99.5"
"1","Oregon","3302727","732189","100"
"1","Pennsylvania","9776154","2074249","99.4"
"1","Rhode Island","817559","215817","99.4"
"1","South Carolina","3969123","922091","99"
"1","South Dakota","642658","185379","100"
"1","Tennessee","5221475","1413656","98.9"
"1","Texas","21356906","6412653","99.5"
"1","Utah","2281207","722923","99.9"
"1","Vermont","485485","111342","100"
"1","Virginia","6472737","1553939","99.8"
"1","Washington","5890357","1371520","99.5"
"1","West Virginia","1379576","301407","100"
"1","Wisconsin","4438719","1137755","99.6"
"1","Wyoming","433400","133979","98.8"
